x,y
392,435
393,432
394,431
395,425
396,423
397,413
398,407
399,401
400,394
401,388
402,380
403,369
404,364
405,361
406,358
407,352
408,348
409,341
410,335
411,328
412,325
413,317
414,314
415,310
416,306
417,303
418,296
419,294
420,288
421,283
422,278
423,275
424,271
425,268
426,263
427,258
428,255
429,248
430,244
431,238
432,234
433,229
434,227
435,223
436,220
437,217
438,211
439,205
440,200
441,192
442,189
443,185
444,178
445,175
446,164
447,165
448,160
449,161
450,161
451,158
452,156
453,152
454,148
455,147
456,147
457,150
458,150
459,154
460,155
461,157
462,154
463,154
464,153
465,153
466,153
467,155
468,154
469,153
470,153
471,153
473,153
474,152
475,151
476,146
477,146
478,144
479,145
480,145
481,149
482,149
483,152
484,153
485,155
486,157
487,160
488,160
489,158
490,157
491,158
492,160
493,162
494,166
495,166
496,169
497,171
498,178
499,183
500,186
501,191
502,192
503,192
504,192
505,194
506,197
507,204
508,203
509,209
510,211
511,215
512,216
513,223
514,227
515,231
516,233
517,232
518,237
519,243
520,246
521,255
522,258
523,260
524,264
525,268
526,270
527,278
528,282
529,285
530,287
531,289
532,295
533,303
534,310
535,315
536,317
537,319
538,321
539,324
540,327
541,332
542,338
543,349
544,354
545,360
546,364
547,366
548,373
549,379
550,388
551,395
552,398
553,403
554,406
555,410
557,413
558,415
559,421
560,426
561,432
562,435
563,438
564,442
565,448
566,452
567,460
568,462
569,468
570,472
571,476
572,481
573,480
574,482
575,483
576,483
577,484
578,484
579,483
580,485
581,487
582,484
583,484
584,483
585,485
586,487
587,489
588,488
589,491
590,492
591,492
592,494
593,494
594,494
595,494
596,492
597,493
598,495
599,498
600,502
603,503
604,505
605,507
606,511
607,510
608,510
609,508
610,507
611,504
612,505
613,504
614,507
615,508
616,511
617,510
618,513
619,514
620,518
621,518
622,521
623,521
624,520
625,520
626,523
627,524
628,527
629,528
630,528
631,528
632,524
633,519
634,515
635,510
636,508
637,506
638,501
639,499
640,495
641,496
642,500
643,503
644,508
645,511
646,517
647,522
648,528
649,535
650,538
651,543
652,543
653,538
654,536
655,527
656,528
657,530
658,534
659,537
660,540
661,543
662,543
663,548
664,548
665,550
666,553
667,557
668,559
669,562
670,562
671,565
672,569
673,571
674,572
675,571
676,571
677,570
678,573
679,580
680,581
681,587
682,588
683,588
684,588
685,589
686,590
687,591
688,586
689,583
690,580
691,578
692,578
693,578
694,578
695,576
696,575
697,573
698,572
699,573
700,576
701,578
702,579
703,579
704,577
705,576
706,573
707,572
708,572
709,572
710,573
711,573
712,577
713,574
714,572
715,570
716,573
717,575
718,579
719,577
720,578
721,578
722,578
723,579
724,581
725,583
726,585
727,580
728,578
729,571
730,568
731,572
732,578
733,583
734,586
735,586
736,586
737,591
738,591
739,599
740,602
741,608
742,610
743,613
744,616
745,616
746,617
747,617
748,617
749,617
750,617
751,618
752,620
753,620
754,621
755,621
756,620
757,620
758,616
759,611
760,607
761,606
762,606
763,608
764,607
765,607
766,604
767,606
768,606
769,609
770,611
771,612
772,610
773,610
774,608
775,608
776,608
777,608
778,608
779,608
780,608
781,608
782,611
783,610
784,609
785,608
786,608
787,611
788,610
789,612
790,612
791,612
792,612
793,612
794,612
795,612
796,612
797,614
798,614
799,616
800,616
801,613
802,609
803,607
804,600
805,599
806,600
807,604
808,606
809,606
810,603
811,602
812,604
813,607
814,607
815,611
816,612
817,612
818,612
819,612
820,611
821,611
822,611
823,610
824,612
825,612
826,612
827,612
828,612
829,612
830,612
831,612
832,612
833,612
834,612
835,612
836,610
837,611
838,608
839,608
840,607
841,607
842,602
843,600
844,598
845,598
846,596
847,594
848,592
849,589
850,589
851,590
852,595
853,595
854,597
855,596
856,593
857,599
858,599
859,602
860,602
861,603
862,602
863,604
864,607
865,607
866,607
867,604
868,607
869,607
870,608
871,608
872,608
873,608
874,608
875,608
876,608
877,608
878,608
879,608
880,608
881,608
882,608
883,611
884,611
885,609
886,608
887,608
888,608
889,611
890,611
891,612
892,612
893,610
894,609
895,607
896,606
897,606
898,611
899,609
900,607
901,604
902,604
903,604
904,604
905,605
906,606
907,606
908,606
909,604
910,604
911,604
912,606
913,606
914,608
915,608
916,608
917,611
918,610
919,611
920,607
921,607
922,606
923,608
924,608
925,608
926,608
927,608
928,608
929,606
930,605
931,606
932,606
933,608
934,608
935,608
936,608
937,608
938,611
939,612
940,613
941,616
942,617
943,617
944,618
945,618
946,617
947,616
948,614
949,611
950,607
951,604
952,602
953,600
954,595
955,591
956,590
957,595
958,594
959,589
960,588
961,582
962,583
963,583
964,585
965,583
966,577
967,574
968,567
969,566
970,564
971,563
972,566
973,569
974,575
975,582
976,585
977,590
978,590
979,591
980,593
981,597
982,599
983,599
984,597
985,596
986,593
987,590
988,590
989,588
990,587
991,585
992,585
993,585
994,586
995,586
996,583
997,584
998,582
999,582
1000,582
1001,584
1002,586
1003,591
1004,593
1005,595
1006,592
1007,591
1008,589
1009,597
1010,603
1011,609
1012,614
1013,612
1014,607
1015,605
1016,606
1017,606
1018,606
1019,609
1020,610
1021,605
1022,606
1023,602
1024,602
1025,602
1026,597
1027,597
1028,595
1029,597
1030,601
1031,602
1032,603
1033,598
1034,596
1035,592
1036,591
1037,591
1038,590
1039,591
1040,591
1041,595
1042,601
1043,605
1044,607
1045,608
1046,608
1047,608
1048,613
1049,616
1050,622
1051,625
1052,628
1053,628
1054,628
1055,629
1056,629
1057,634
1058,634
1059,637
1060,637
1061,634
1062,635
1063,633
1064,632
1065,630
1066,628
1067,628
1068,628
1069,627
1070,627
1071,626
1072,626
1073,626
1074,625
1075,624
1076,624
1077,622
1078,622
1079,618
1080,617
1081,614
1082,614
1083,612
1084,612
1085,612
1086,612
1087,612
1088,613
1089,616
1090,616
1091,618
1092,618
1093,618
1094,617
1095,617
1096,617
1097,617
1098,614
1099,613
1100,610
1101,608
1102,604
1103,603
1104,604
1105,606
1106,606
1107,606
1108,607
1109,607
1110,608
1111,608
1112,606
1113,606
1114,604
1115,604
1116,604
1117,604
1118,604
1119,604
1120,604
1121,603
1122,602
1123,604
1124,603
1125,602
1126,602
1127,602
1128,602
1129,601
1130,599
1131,597
1132,594
1133,594
1134,592
1135,592
1136,590
1137,591
1138,588
1139,588
1140,587
1141,586
1142,586
1143,586
1144,583
1145,581
1146,580
1147,575
1148,574
1149,570
1150,568
1151,565
1152,565
1153,563
1154,561
1155,558
1156,555
1157,556
1158,553
1159,551
1160,550
1161,547
1162,547
1163,543
1164,541
1165,537
1166,536
1167,531
1168,529
1169,527
1170,527
1171,524
1172,524
1173,519
1174,518
1175,514
1176,511
1177,509
1178,506
1179,501
1180,498
1181,492
1182,489
1183,487
1184,483
1185,478
1186,473
1187,469
1188,464
1189,461
1190,457
1191,452
1192,449
1193,444
1194,441
1195,437
1196,434
1197,429
1198,429
1199,426
1200,421
1201,421
1202,411
1203,409
1204,403
1205,401
1206,400
1207,398
1208,395
1209,390
1210,387
1211,381
1212,376
1213,370
1214,363
1215,361
1216,360
1217,358
1218,356
1219,351
1220,348
1221,343
1222,341
1223,335
1224,330
1225,326
1226,325
1227,325
1228,322
1229,319
1230,313
1231,304
1232,296
1233,287
1234,282
